,date,ticker,document
74,00930 h,F,"{'usage': {'text_units': 2, 'text_characters': 11742, 'features': 2}, 'sentiment': {'document': {'score': -0.965094, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.64969, 'joy': 0.015646, 'fear': 0.401488, 'disgust': 0.04794, 'anger': 0.108852}}}}"
75,202010 ,F,"{'usage': {'text_units': 2, 'text_characters': 13101, 'features': 2}, 'sentiment': {'document': {'score': -0.979268, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.761316, 'joy': 0.005785, 'fear': 0.290026, 'disgust': 0.051865, 'anger': 0.124511}}}}"
76,201910 ,F,"{'usage': {'text_units': 1, 'text_characters': 8614, 'features': 2}, 'sentiment': {'document': {'score': -0.770744, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.747872, 'joy': 0.046202, 'fear': 0.258569, 'disgust': 0.041752, 'anger': 0.071636}}}}"
77,201810 ,F,"{'usage': {'text_units': 1, 'text_characters': 7503, 'features': 2}, 'sentiment': {'document': {'score': -0.75304, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.67821, 'joy': 0.046597, 'fear': 0.262044, 'disgust': 0.045324, 'anger': 0.075497}}}}"
78,2020093,NKLA,"{'usage': {'text_units': 3, 'text_characters': 21531, 'features': 2}, 'sentiment': {'document': {'score': -0.930738, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.88879, 'joy': 0.002094, 'fear': 0.163456, 'disgust': 0.072787, 'anger': 0.117401}}}}"
79,2020063,NKLA,"{'usage': {'text_units': 2, 'text_characters': 17998, 'features': 2}, 'sentiment': {'document': {'score': -0.963677, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.875484, 'joy': 0.003035, 'fear': 0.213205, 'disgust': 0.065469, 'anger': 0.084961}}}}"
80,4506 1_,NKLA,"{'usage': {'text_units': 1, 'text_characters': 5607, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.679374, 'joy': 0.030781, 'fear': 0.185664, 'disgust': 0.024202, 'anger': 0.064336}}}}"
81,7614_11,NKLA,"{'usage': {'text_units': 1, 'text_characters': 4029, 'features': 2}, 'sentiment': {'document': {'score': -0.666044, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.701611, 'joy': 0.024146, 'fear': 0.227568, 'disgust': 0.029855, 'anger': 0.07283}}}}"
82,9071_11,NKLA,"{'usage': {'text_units': 1, 'text_characters': 3604, 'features': 2}, 'sentiment': {'document': {'score': -0.833742, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.695854, 'joy': 0.024403, 'fear': 0.220787, 'disgust': 0.027109, 'anger': 0.072894}}}}"
83,765_110,NKLA,"{'usage': {'text_units': 1, 'text_characters': 4050, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.713169, 'joy': 0.024113, 'fear': 0.211792, 'disgust': 0.030519, 'anger': 0.072982}}}}"
84,0390_11,NKLA,"{'usage': {'text_units': 1, 'text_characters': 4035, 'features': 2}, 'sentiment': {'document': {'score': -0.766119, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.681182, 'joy': 0.023915, 'fear': 0.233984, 'disgust': 0.029121, 'anger': 0.066195}}}}"
